no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
1,1001602,환경부,평창군(송정교),Pyeongchanggun(Songjeonggyo),한강,오대천,강원도 평창군 진부면 하진부리 송정교,128.551111,37.624167
2,1001607,수자원공사,삼척시(번천교),Samcheoksi(Bunchungyo),한강,번천천,강원도 삼척시 하장면 번천리 천375 번천교,129.004167,37.372222
3,1001613,수자원공사,삼척시(광동교),Samcheoksi(Gwangdonggyo),한강,골지천,강원도 삼척시 하장면 하장길 125 광동교,128.9425,37.348333
4,1001615,수자원공사,삼척시(갈밭교),Samcheoksi(Galbatgyo),한강,골지천,강원도 삼척시 하장면 갈전리 산119-1 갈밭교,128.911389,37.373889
5,1001620,환경부,정선군(송계교),Jeongseongun(Songgyegyo),한강,임계천,강원도 정선군 임계면 봉산리 송계교,128.849167,37.494167
6,1001622,환경부,정선군(혈천교),Jeongseongun(Hyulcheongyo),한강,골지천,강원도 정선군 임계면 낙천리 혈천교,128.846944,37.464722
7,1001625,환경부,정선군(송천교),Jeongseongun(Songcheongyo),한강,송천,강원도 정선군 여량면 유천리 송천교,128.718611,37.485556
8,1001626,환경부,정선군(제1여량교),Jeongseongun(Je1yeoryanggyo),한강,골지천,강원도 정선군 여량면 여량리 제1여량교,128.729167,37.473333
9,1001629,환경부,정선군(남평대교),Jeongseongun(Nampyeongdaegyo),한강,골지천,강원도 정선군 북평면 남평리 남평대교,128.653056,37.438889
10,1001630,환경부,정선군(나전교),Jeongseongun(Najeongyo),한강,오대천,강원도 정선군 북평면 북평리 나전교,128.649722,37.438611
11,1001645,환경부,정선군(와평교),Jeongseongun(Wahpyeonggyo),한강,어천,강원도 정선군 정선읍 신월리 와평교,128.684167,37.366111
12,1001649,환경부,정선군(애산교),Jeongseongun(Yaesangyo),한강,어천,강원도 정선군 정선읍 애산리 애산교,128.670833,37.373333
13,1001655,환경부,정선군(정선제1교),Jeongseongun(Jeongseonje1gyo),한강,한강,강원도 정선군 정선읍 봉양리 정선제1교,128.657222,37.378333
14,1001658,환경부,정선군(광하교),Jeongseongun(Gwanghagyo),한강,한강,강원도 정선군 정선읍 광하리 광하교,128.618889,37.369722
15,1001660,환경부,정선군(낙동교),Jeongseongun(Nakdonggyo),한강,지장천,강원도 정선군 남면 낙동리 낙동교,128.693611,37.318889
16,1001670,환경부,영월군(거운교),Yeongwolgun(Geoungyo),한강,한강,강원도 영월군 영월읍 거운리 거운교,128.512222,37.234722
17,1001683,수자원공사,영월군(삼옥교),Yeongwolgun(Samokgyo),한강,한강,강원도 영월군 영월읍 삼옥리 539-1 천 삼옥교,128.51,37.207222
18,1001690,환경부,영월군(영월대교),Yeongwolgun(Yeongwoldaegyo),한강,한강,강원도 영월군 영월읍 덕포리 영월대교,128.475278,37.181944
19,1002605,환경부,평창군(이목정교),Pyeongchanggun(Imokjeonggyo),한강,속사천,강원도 평창군 용평면 이목정리 이목정교,128.471944,37.621389
20,1002610,환경부,평창군(장평교),Pyeongchanggun(Jangpyeonggyo),한강,속사천,강원도 평창군 용평면 장평리 장평교,128.412778,37.586389
21,1002615,환경부,평창군(백옥포교),Pyeongchanggun(Baekokpogyo),한강,흥정천,강원도 평창군 용평면 백옥포리 진천교,128.391389,37.586111
22,1002625,환경부,평창군(선애교),Pyeongchanggun(Sunaegyo),한강,평창강,강원도 평창군 대화면 상안미리 선애교,128.41,37.474444
23,1002635,환경부,평창군(사초교),Pyeongchanggun(Sachogyo),한강,대화천,강원도 평창군 대화면 하안미리 사초교,128.439722,37.455278
24,1002640,환경부,평창군(상방림교),Pyeongchanggun(Sangbangrimgyo),한강,평창강,강원도 평창군 방림면 방림리 상방림교,128.417222,37.431389
25,1002650,환경부,평창군(평창교),Pyeongchanggun(Pyeongchanggyo),한강,평창강,강원도 평창군 평창읍 중리 평창교,128.406111,37.367778
26,1002655,수자원공사,영월군(판운교),Yeongwolgun(Panungyo),한강,평창강,강원도 영월군 주천면 판운리 산 48-1 판운교,128.343889,37.296667
