no,obs_code,name_K,management
1,1001210,광동,한국수자원공사
2,1003110,충주,한국수자원공사
3,1003611,충주조정지,한국수자원공사
4,1004310,괴산댐,한국수력원자력
5,1006110,횡성,한국수자원공사
6,1007801,강천보,한국수자원공사
7,1007802,여주보,한국수자원공사
8,1007803,이포보,한국수자원공사
9,1009710,평화의댐,한국수자원공사
10,1010310,화천댐,한국수력원자력
11,1010320,춘천댐,한국수력원자력
12,1012110,소양강,한국수자원공사
13,1013310,의암댐,한국수력원자력
14,1015310,청평댐,한국수력원자력
15,1017310,팔당댐,한국수력원자력
16,1019901,경인아라뱃길,한국수자원공사
17,1021701,군남,한국수자원공사
18,1022701,한탄강,한국수자원공사
19,1024801,귤현,한국수자원공사
20,1302210,달방,한국수자원공사
21,2001110,안동,한국수자원공사
22,2001611,안동조정지,한국수자원공사
23,2002110,임하,한국수자원공사
24,2002111,성덕,한국수자원공사
25,2002610,임하조정지,한국수자원공사
26,2004101,영주,한국수자원공사
27,2007801,상주보,한국수자원공사
28,2008110,군위,한국수자원공사
29,2009801,낙단보,한국수자원공사
30,2009802,구미보,한국수자원공사
31,2011801,칠곡보,한국수자원공사
32,2011802,강정고령보,한국수자원공사
33,2012101,보현산,한국수자원공사
34,2012210,영천,한국수자원공사
35,2014801,달성보,한국수자원공사
36,2014802,합천창녕보,한국수자원공사
37,2015110,합천,한국수자원공사
38,2017801,창녕함안보,한국수자원공사
39,2018110,남강,한국수자원공사
40,2018611,합천조정지,한국수자원공사
41,2021110,밀양,한국수자원공사
42,2021210,운문,한국수자원공사
43,2022510,낙동강하굿둑,한국수자원공사
44,2101210,안계,한국수자원공사
45,2201220,사연,한국수자원공사
46,2201230,대암,한국수자원공사
47,2201231,대곡,한국수자원공사
48,2301210,선암,한국수자원공사
49,2403201,감포,한국수자원공사
50,2503210,연초,한국수자원공사
51,2503220,구천,한국수자원공사
52,3001110,용담,한국수자원공사
53,3008110,대청,한국수자원공사
54,3008611,대청조정지,한국수자원공사
55,3010801,세종보,한국수자원공사
56,3012801,공주보,한국수자원공사
57,3012802,백제보,한국수자원공사
58,3203310,보령,한국수자원공사
59,3303110,부안,한국수자원공사
60,4001110,섬진강,한국수자원공사
61,4007110,주암(본),한국수자원공사
62,4007310,보성강댐,한국수력원자력
63,4104610,주암(조),한국수자원공사
64,4105210,수어,한국수자원공사
65,5001701,담양,한국수자원공사
66,5002201,평림,한국수자원공사
67,5003701,화순,한국수자원공사
68,5004801,승촌보,한국수자원공사
69,5004802,죽산보,한국수자원공사
70,5101110,장흥,한국수자원공사
