no_1,obs_code,manageme_1,name_K_1,name_E_1,watershe_1,address_1,long,lat_1,start_1,Ele,level_1,remark_1
1,10014010,환경부,평창군(월정분교),Pyeongchanggun(Woljeongbungyo),한강,강원도 평창군 진부면 내동산길 4 진부초등학교 월정?,128.599167,37.709444,1916-01-01,614.2,우수(B),
2,10014020,환경부,정선군(정선군2청사),Jeongseongun(Jeongseongun2chungsa),한강,강원도 정선군 정선읍 녹송4길 71 정선군 제2청사,128.673611,37.383333,1916-07-01,316.7,우수(B),
3,10014080,환경부,강릉시(대기리),Gangneungsi(Daegiri),한강,강원도 강릉시 왕산면 대기리 922-1,128.7775,37.586111,1983-07-01,632.2,우수(B),
4,10014090,환경부,정선군(고한읍사무소),Jeongseongun(Gohaneupsamuso),한강,강원도 정선군 고한읍 고한2길 1 고한읍행정복지센터,128.851667,37.204167,1983-07-01,724.2,우수(B),
5,10014100,환경부,삼척시(번천리),Samcheoksi(Beoncheonri),한강,강원도 삼척시 하장면 번천리 125-1,128.997222,37.365833,1983-07-01,739,우수(B),
6,10014110,수자원공사,평창군(상진부리),Pyeongchanggun(Sangjinburi),한강,강원도 평창군 진부면 상진부리 42-4,128.575833,37.660833,1985-08-30,574,최적(A),
7,10014120,수자원공사,평창군(수하리),Pyeongchanggun(Suhari),한강,강원도 평창군 대관령면 수하리 142-2,128.705278,37.661944,1985-08-30,800,최적(A),
8,10014130,수자원공사,정선군(여탄리),Jeongseongun(Yeotanri),한강,강원도 정선군 정선읍 여탄리 300-3,128.701944,37.386111,1985-08-30,300,최적(A),
9,10014140,수자원공사,정선군(송계리),Jeongseongun(Songgyeri),한강,강원 정선군 임계면 서동로 4142-12,128.817778,37.496944,1985-08-30,498,최적(A),
10,10014150,수자원공사,정선군(직전리),Jeongseongun(Jikjeonri),한강,강원도 정선군 사북면 직전리 588-2,128.813889,37.240556,1985-08-30,790,최적(A),
11,10014160,수자원공사,평창군(율치리),Pyeongchanggun(Yulchiri),한강,강원도 평창군 미탄면 돈너머길 250-6,128.490278,37.327778,1992-06-15,610,최적(A),
