no,obs_code,name_K,long,lat,manageme_1
33,DT_0063,가덕도,128.81,35.024,해양수산부
21,DT_0032,강화대교,126.522,37.731,해양수산부
20,DT_0029,거제도,128.699,34.801,해양수산부
17,DT_0026,고흥발포,127.342,34.481,해양수산부
24,DT_0049,광양,127.754,34.903,해양수산부
13,DT_0018,군산,126.563,35.975,해양수산부
12,DT_0017,대산,126.352,37.007,해양수산부
34,DT_0065,덕적도,126.156,37.226,해양수산부
29,DT_0057,동해항,129.143,37.494,해양수산부
32,DT_0062,마산,128.576,35.197,해양수산부
6,DT_0007,목포,126.375,34.779,해양수산부
5,DT_0006,묵호,129.116,37.55,해양수산부
16,DT_0025,보령,126.486,36.406,해양수산부
4,DT_0005,부산,129.035,35.096,해양수산부
28,DT_0056,부산항신항,128.786,35.077,해양수산부
31,DT_0061,삼천포,128.069,34.924,해양수산부
26,DT_0051,서천마량,126.495,36.128,해양수산부
40,DT_0093,소무의도,126.44,37.373,해양수산부
9,DT_0012,속초,128.594,38.207,해양수산부
7,DT_0008,안산,126.647,37.192,해양수산부
36,DT_0067,안흥,126.129,36.674,해양수산부
11,DT_0016,여수,127.765,34.747,해양수산부
39,DT_0092,여호항,127.469,34.661,해양수산부
3,DT_0003,영광,126.42,35.426,해양수산부
23,DT_0044,영종대교,126.584,37.545,해양수산부
22,DT_0043,영흥도,126.428,37.238,해양수산부
18,DT_0027,완도,126.759,34.315,해양수산부
14,DT_0020,울산,129.387,35.501,해양수산부
37,DT_0068,위도,126.301,35.618,해양수산부
1,DT_0001,인천,126.592,37.451,해양수산부
27,DT_0052,인천송도,126.586,37.338,해양수산부
15,DT_0024,장항,126.687,36.006,해양수산부
19,DT_0028,진도,126.308,34.377,해양수산부
25,DT_0050,태안,126.238,36.913,해양수산부
10,DT_0014,통영,128.434,34.827,해양수산부
2,DT_0002,평택,126.822,36.966,해양수산부
38,DT_0091,포항,129.376,36.051,해양수산부
35,DT_0066,향화도,126.359,35.167,해양수산부
8,DT_0011,후포,129.453,36.677,해양수산부
30,DT_0058,경인항,126.601,37.56,해양수산부
