No.total,Serial No.,StationCo,Name_Kor,Name_Eng,River Syst,River name,Transmissi,Instrument,Address,Longitude,Latitude,Longitude_,Latitude_d,Beginning,Tidal,Elevation,Elevatio_1,Possible,Discharge,Drainage A,Distance f,Grade of,Remarks,Management,classifica,권역,Level,선정1,Final,확대지점,type,주의수위,경계수위,심각수위,기왕 최대수위,기왕 최대수위 사상,경계수위 초과유무,경계수위 초과사상,심각수위 초과유무,심각수위 초과사상,Hydro model,Rating curve,시나리오대상,Basic Model,Predict Rainfall Model,Scenario model,Representative,
1,1,1001602,평창군(송정교),Pyeongchanggun(Songjeonggyo),한강,오대천,VHF/M2M,레이더식,강원특별자치도 평창군 진부면 하진부리 송정교,128-33-04,37-37-27,128.5511111,37.62416667,2015-12-30,무,511.589,520.43,5.9,무,229.84,33.3,최적(A),1.1~3.5 동절기 하천결빙으로 결측,환경부,,한강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
2,2,1001620,정선군(송계교),Jeongseongun(Songgyegyo),한강,임계천,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 임계면 봉산리 송계교,128-50-57,37-29-39,128.8491667,37.49416667,1962-07-01,무,491.02,496.562,5,무,161.07,3.14,최적(A),"1.1~1.3, 12.18~12.27 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
3,3,1001622,정선군(혈천교),Jeongseongun(Hyulcheongyo),한강,골지천,VHF/M2M,부자식,강원특별자치도 정선군 임계면 낙천리 혈천교,128-50-49,37-27-53,128.8469444,37.46472222,2010-11-11,무,479.382,488.837,7,무,285.96,1.74,최적(A),"1.1~2.2, 12.17~12.26 동절기 하천결빙으로 결측",환경부,,한강,지방,,,,지류,,,,,,,,,,,,,,,,,
4,4,1001625,정선군(송천교),Jeongseongun(Songcheongyo),한강,송천,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 여량면 유천리 송천교,128-43-07,37-29-08,128.7186111,37.48555556,2007-07-18,무,374.685,383.167,6,유,350.81,1.03,최적(A),"1.1~1.26 동절기 하천결빙으로 결측, 도암댐 방류 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,5,6.5,7.3,1900-01-04 5:02,44077.375,X,,X,,O,O,O,○,,●,시나리오
5,5,1001626,정선군(제1여량교),Jeongseongun(Je1yeoryanggyo),한강,골지천,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 여량면 여량리 제1여량교,128-43-45,37-28-24,128.7291667,37.47333333,2015-12-30,무,369.492,380.88,9,유,539.17,11.52,최적(A),"1.1~2.28, 12.21~12.31 동절기 하천결빙으로 결측, 정선소수력 발전소와 광동댐 방류 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,5,6,7.8,6.98,,O,"2020-09-03, 2020-09-07, ",X,,O,O,X,●,,,기본
6,6,1001629,정선군(남평대교),Jeongseongun(Nampyeongdaegyo),한강,골지천,VHF/M2M,부자식,강원특별자치도 정선군 북평면 남평리 남평대교,128-39-11,37-26-20,128.6530556,37.43888889,2015-12-30,무,332.062,343.556,9,무,969.78,0.28,최적(A), ,환경부,,한강,지방,추가,O,,지류,,5.5,6.5,7.1,6.76,,O,"2020-09-03, ",X,,O,O,X,●,,,기본
7,7,1001630,정선군(나전교),Jeongseongun(Najeongyo),한강,오대천,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 북평면 북평리 나전교,128-38-59,37-26-19,128.6497222,37.43861111,2007-07-18,무,333.208,344.183,8,유,451.62,0.23,최적(A),"1.1~2.24, 12.16~12.26 동절기 하천결빙으로 결측, 본류 배수 영향",환경부,확대특보지점,한강,지방,확대특보지점,O,,지류,,4,5,5.4,5.35,,O,44077,X,,O,O,X,●,,,기본
8,8,1001645,정선군(와평교),Jeongseongun(Wahpyeonggyo),한강,어천,VHF/M2M,레이더식,강원특별자치도 정선군 정선읍 신월리 와평교,128-41-03,37-21-58,128.6841667,37.36611111,2014-12-29,무,313.547,323.495,6.5,무,226.69,2.66,최적(A),"1.1~1.5, 1.24~1.29 동절기 하천결빙으로 결측",환경부,,한강,지방,확대특보지점,O,,지류,,4.5,5.5,7,1900-01-04 12:28,43347.23611,X,,X,,O,O,O,○,,●,시나리오
9,9,1001649,정선군(애산교),Jeongseongun(Yaesangyo),한강,어천,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 정선읍 애산리 애산교,128-40-15,37-22-24,128.6708333,37.37333333,2007-12-09,무,300.915,310.073,6,무,229.5,0.19,최적(A),"1.1~1.9, 12.22~12.31 동절기 하천결빙으로 결측, 본류 배수 영향",환경부,확대특보지점,한강,지방,추가선정,,추가선정,지류,,,,,,,,,,,,,,,,,
10,10,1001655,정선군(정선제1교),Jeongseongun(Jeongseonje1gyo),한강,한강,VHF/M2M,부자식/레이더식,강원특별자치도 정선군 정선읍 봉양리 정선제1교,128-39-26,37-22-42,128.6572222,37.37833333,1918-01-01,무,296.789,312.418,12,유,"1,693.07",381.32,최적(A),"1.1~2.1 동절기 하천결빙으로 결측, 상류 소수력발전소 영향",환경부,현재특보지점,한강,국가,현재특보지점,O,,본류,,4.5,6,7.8,6.13,,O,44077,X,,O,O,X,●,,,기본
