no,sbsncd,sbsnnm_1,bbsncd_1,mbsncd_1,area
1,100101,광동댐,10,1001,120727493.2
2,100102,광동댐하류,10,1001,171050318.2
3,100103,임계천,10,1001,167847627
4,100104,골지천중류,10,1001,87562734.52
5,100105,도암댐,10,1001,149417215.5
6,100106,송천,10,1001,202687270.9
7,100107,골지천하류,10,1001,74077416.07
8,100108,오대천상류,10,1001,241212339.6
9,100109,오대천하류,10,1001,210483424
10,100110,어천상류,10,1001,109410955.2
11,100111,어천하류,10,1001,120546688.6
12,100112,정선,10,1001,179667307.4
13,100113,지장천상류,10,1001,121940258.9
14,100114,지장천하류,10,1001,102990059.8
15,100115,창리천,10,1001,102845655.4
16,100116,석항천,10,1001,128070669.4
17,100117,영월,10,1001,157273686.9
18,100201,흥정천,10,1002,267169853.3
19,100202,평창강상류,10,1002,135296147.9
20,100203,대화천,10,1002,117165443.7
21,100204,계촌천,10,1002,102636182.2
22,100205,평창수위표,10,1002,74665745.83
23,100206,평창강중류,10,1002,191061953.6
24,100207,주천강시점,10,1002,123964670.8
25,100208,주천강상류,10,1002,181525290.8
26,100209,주천강중류,10,1002,212319968.7
27,100210,주천강하류,10,1002,89536711.53
28,100211,쌍용천,10,1002,98797325.44
29,100212,문곡천,10,1002,93253228.53
30,100213,평창강하류,10,1002,85967757.74
31,100301,평창강합류후,10,1003,52541046.36
32,100302,옥동천상류,10,1003,133459778.6
33,100303,옥동천중류,10,1003,122152356.5
34,100304,내린천,10,1003,97432746.49
35,100305,옥동천하류,10,1003,142207308.7
36,100306,사이곡천합류전,10,1003,128968851.8
37,100307,하일천합류후,10,1003,189917902.3
38,100308,매포천,10,1003,116526081.2
39,100309,죽령천,10,1003,137037889
40,100310,단양천합류후,10,1003,93570668.97
41,100311,단양천,10,1003,95406630.05
42,100312,충주댐상류,10,1003,52704922.56
43,100313,제천천상류,10,1003,153778800.9
44,100314,장평천,10,1003,114580298.9
45,100315,제천천하류,10,1003,55908711.67
46,100316,원서천,10,1003,137592013.6
47,100317,광천,10,1003,114946866
48,100318,동달천,10,1003,53704204.29
49,100319,충주댐,10,1003,447879687.9
50,100320,충주댐하류,10,1003,43480693.79
51,100401,달천상류,10,1004,139881551.4
52,100402,감천,10,1004,115804760
53,100403,압항천합류전,10,1004,153224372.7
54,100404,압항천,10,1004,70714165.22
55,100405,화양천,10,1004,105733260.7
56,100406,괴산댐,10,1004,91358255.65
57,100407,쌍천,10,1004,182340348.1
58,100408,동진천,10,1004,123993478.1
59,100409,괴산댐하류,10,1004,86180879.98
60,100410,음성천,10,1004,143196477.7
61,100411,석문동천합류전,10,1004,48062521.23
62,100412,석문동천,10,1004,99181552.86
63,100413,요도천,10,1004,150585981.8
64,100414,달천하류,10,1004,104078662.3
65,100501,충주조정지댐,10,1005,40876165.61
66,100502,목계수위표,10,1005,155756639.8
67,100503,운계천합류전,10,1005,161350140
68,100504,운계천,10,1005,73280048.33
69,100505,섬강합류전,10,1005,93147713.06
70,100601,횡성댐,10,1006,207877072.8
71,100602,횡성댐하류,10,1006,75824746.76
72,100603,금계천,10,1006,155378682.8
73,100604,전천,10,1006,170731565.8
74,100605,원주천합류전,10,1006,108099973.8
75,100606,원주천,10,1006,152976934.5
76,100607,삼산천,10,1006,124158143.2
77,100608,간현수위표,10,1006,195767511.7
78,100609,서곡천,10,1006,113494537.1
79,100610,섬강하류,10,1006,186674447.5
80,100701,청미천상류,10,1007,116169532.3
81,100702,죽산천,10,1007,54159580.88
82,100703,청미천중류,10,1007,126208536.9
83,100704,응천,10,1007,103058132.1
84,100705,청미수위표,10,1007,119908657.8
85,100706,강천보,10,1007,102800926.4
86,100707,금당천,10,1007,92496577.52
87,100708,여주수위표,10,1007,64676535.69
88,100709,여주보,10,1007,62375177.73
90,100711,이포보,10,1007,107704084
89,100710,양화천,10,1007,181128935.2
91,100712,복하천상류,10,1007,145363050.6
92,100713,복하천중류,10,1007,86320064.3
93,100714,복하천하류,10,1007,77810081.92
94,100715,흑천합류전,10,1007,100998350.6
95,100716,흑천상류,10,1007,161288354.7
96,100717,흑천하류,10,1007,152781316.3
97,100718,양평수위표,10,1007,128939015.8
98,100719,남한강하류,10,1007,88510255.66
99,100801,신명리댐,10,1008,239365787.7
100,100802,신명리댐하류,10,1008,330489824.7
101,100803,사두포천,10,1008,178557382.1
102,100804,이포리하천,10,1008,220676459.5
103,100805,창도군,10,1008,174464070.2
104,100806,금강산댐상류,10,1008,187991082.1
105,100807,가성리하천,10,1008,104842191.9
106,100808,현리하천,10,1008,119397250.2
107,100809,동금강천상류,10,1008,191130645.5
108,100810,초거리하천,10,1008,231650029.5
109,100811,동금강천하류,10,1008,104230712.4
110,100812,금강천,10,1008,198850809.6
111,100813,금강산댐,10,1008,103007196.1
112,100901,금성천상류,10,1009,244247451
113,100902,금성천하류,10,1009,344858166.3
114,100903,평화의댐,10,1009,247384250
115,100904,평화의댐하류,10,1009,103949938.4
116,101001,수입천상류,10,1010,94791104.91
117,101002,건솔리하천,10,1010,112503979.4
118,101003,수입천하류,10,1010,120191011.8
119,101004,서천,10,1010,170742036.5
120,101005,양구서천,10,1010,109181377.2
121,101006,화천댐,10,1010,152277459.5
122,101007,화천댐하류,10,1010,76671529.58
123,101008,화천천,10,1010,263533943.1
124,101009,춘천댐상류,10,1010,108745979.4
125,101010,지촌천,10,1010,186964490.5
126,101011,춘천댐,10,1010,139047877.9
127,101012,춘천댐하류,10,1010,52778776.41
128,101101,인북천상류,10,1011,220106359.8
129,101102,인북천중류,10,1011,262259324.9
130,101103,북천,10,1011,304116315.4
131,101104,인북천하류,10,1011,144731289.2
132,101201,내린천상류,10,1012,403472546.4
133,101202,방내천,10,1012,173558479.5
134,101203,내린천하류,10,1012,62607710.81
135,101204,방태천,10,1012,194511897.9
136,101205,소양강상류,10,1012,250202190.6
137,101206,양구교수위표,10,1012,278207378.6
138,101207,소양강댐,10,1012,400540598
139,101208,소양강댐하류,10,1012,88911959.95
140,101301,공지천,10,1013,57258591
141,101302,의암댐,10,1013,81864737.65
142,101303,팔미천,10,1013,74531700.56
143,101304,가평수위표,10,1013,114895005.7
144,101305,가평천상류,10,1013,131424078.8
145,101306,가평천하류,10,1013,173974697.7
146,101307,청평댐상류,10,1013,87727902.78
147,101401,내촌천상류,10,1014,195848832.3
148,101402,내촌천하류,10,1014,149230221.6
149,101403,홍천강상류,10,1014,162699402.6
150,101404,화촌수위표,10,1014,74749365.73
151,101405,군업천,10,1014,82158607.12
152,101406,덕치천합류전,10,1014,88505167.23
153,101407,덕치천,10,1014,114171155.3
154,101408,홍천수위표,10,1014,92814919.32
155,101409,성동천,10,1014,72027939.39
156,101410,양덕원천합류전,10,1014,80491092.6
157,101411,양덕원천,10,1014,110374734.7
158,101412,서면수위표,10,1014,140701173.2
159,101413,중방대천,10,1014,87153420.54
160,101414,홍천강하류,10,1014,115106801.4
161,101501,미원천,10,1015,64638965.21
162,101502,청평댐,10,1015,55059963.53
163,101503,조종천상류,10,1015,155895529.3
164,101504,조종천하류,10,1015,104676363.3
165,101505,구운천,10,1015,87915160.7
166,101506,청평댐하류,10,1015,48237242.73
167,101507,벽계천,10,1015,78066256.47
168,101508,북한강하류,10,1015,166092742.7
169,101601,경안천상류,10,1016,149900423.7
170,101602,오산천,10,1016,48469425.89
171,101603,경안수위표,10,1016,90379171.54
172,101604,곤지암천,10,1016,158508589.9
173,101605,경안천하류,10,1016,113862054.1
174,101701,팔당댐,10,1017,43868728.09
175,101801,팔당댐하류,10,1018,138955986.2
176,101802,퇴계원수위표,10,1018,201500398.6
177,101803,왕숙천,10,1018,73118096.46
