no,sbsncd,sbsnnm_1,bbsncd_1,mbsncd_1,area
1,100101#01,태백시(무사교) s to 100101#02,10,1001,
2,100101#02,삼척시(광동댐) s to 100101#05,10,1001,
3,100101#03,삼척시(번천교) s to 100101#04,10,1001,
4,100101#04,번천 n to 100101#05,10,1001,
5,100101#05,광동댐 f to 100102#01,10,1001,
6,100102#01,삼척시(광동교) s to 100102#02,10,1001,
7,100102#02,삼척시(갈밭교) s to 100102#03,10,1001,
8,100102#03,정선군(혈천교) s to 100102#04,10,1001,
9,100102#04,임계천합류전 n to 100104#01,10,1001,
10,100103#01,정선군(송계교) s to 100103#02,10,1001,
11,100103#02,임계천 n to 100104#01,10,1001,
12,100104#01,정선군(제1여량교) s to 100104#02,10,1001,
13,100104#02,송천합류전 n to 100107#01,10,1001,
14,100105#01,도암댐 f to 100106#01,10,1001,
15,100106#01,정선군(송천교) s to 100106#02,10,1001,
16,100106#02,송천 n to 100107#01,10,1001,
17,100107#01,정선군(남평대교) s to 100112#01,10,1001,
18,100108#01,평창군(송정교) s to 100108#02,10,1001,
19,100108#02,오대천상류 n to 100109#01,10,1001,
20,100109#01,정선군(나전교) s to 100112#01,10,1001,
21,100110#01,어천상류 n to 100111#01,10,1001,
22,100111#01,정선군(와평교) s to 100111#02,10,1001,
23,100111#02,정선군(애산교) s to 100112#02,10,1001,
24,100112#01,어천합류전 n to 100112#02,10,1001,
25,100112#02,정선군(정선제1교) s to 100112#03,10,1001,
26,100112#03,정선군(광하교) s to 100112#04,10,1001,
27,100112#04,지장천합류전 n to 100117#01,10,1001,
28,100113#01,지장천상류 n to 100114#01,10,1001,
29,100114#01,정선군(낙동교) s to 100114#02,10,1001,
30,100114#02,지장천 n to 100117#01,10,1001,
31,100115#01,창리천 n to 100117#02,10,1001,
32,100116#01,석항천 n to 100117#05,10,1001,
33,100117#01,창리천합류전 n to 100117#02,10,1001,
34,100117#02,영월군(거운교) s to 100117#03,10,1001,
35,100117#03,영월군(삼옥교) s to 100117#04,10,1001,
36,100117#04,석항천합류전 n to 100117#05,10,1001,
37,100117#05,영월군(영월대교) s to 100117#06,10,1001,
38,100117#06,평창강합류전 n to 100301#01,10,1001,
39,100201#01,평창군(이목정교) s to 100201#02,10,1002,
40,100201#02,평창군(장평교) s to 100201#05,10,1002,
41,100201#03,평창군(백옥포교) s to 100201#04,10,1002,
42,100201#04,흥정천 n to 100201#05,10,1002,
43,100201#05,흥정천 n to 100202#01,10,1002,
44,100202#01,평창군(선애교) s to 100202#02,10,1002,
45,100202#02,평창강상류 n to 100205#01,10,1002,
46,100203#01,평창군(사초교) s to 100203#02,10,1002,
47,100203#02,하안미천합류전 n to 100203#04,10,1002,
48,100203#03,하안미천 n to 100203#04,10,1002,
49,100203#04,대화천 n to 100205#01,10,1002,
50,100204#01,계촌천 n to 100205#03,10,1002,
51,100205#01,평창군(상방림교) s to 100205#02,10,1002,
52,100205#02,계촌천합류전 n to 100205#03,10,1002,
53,100205#03,평창군(평창교) s to 100206#02,10,1002,
54,100206#01,고길천 n to 100206#02,10,1002,
55,100206#02,영월군(판운교) s to 100206#03,10,1002,
56,100206#03,평창강중류 n to 100211#01,10,1002,
57,100207#01,주천강시점 n to 100208#01,10,1002,
58,100208#01,횡성군(안흥교) s to 100208#02,10,1002,
59,100208#02,주천강상류 n to 100209#01,10,1002,
60,100209#01,영월군(두학교) s to 100209#02,10,1002,
61,100209#02,주천강중류 n to 100210#01,10,1002,
62,100210#01,영월군(주천교) s to 100210#02,10,1002,
63,100210#02,영월군(신천교) s to 100210#03,10,1002,
64,100210#03,주천강하류 n to 100211#01,10,1002,
65,100211#01,쌍용천 n to 100213#01,10,1002,
66,100212#01,문곡천 n to 100213#04,10,1002,
67,100213#01,영월군(연당교) s to 100213#02,10,1002,
68,100213#02,영월군(북쌍리) s to 100213#03,10,1002,
69,100213#03,문곡천합류전 n to 100213#04,10,1002,
70,100213#04,영월군(팔괴교) s to 100213#05,10,1002,
71,100213#05,평창강하류 n to 100301#01,10,1002,
72,100301#01,평창강합류후 n to 100305#02,10,1003,
73,100302#01,옥동천상류 n to 100303#01,10,1003,
74,100303#01,영월군(충혼교) s to 100303#02,10,1003,
75,100303#02,옥동천중류 n to 100305#01,10,1003,
76,100304#01,내린천 n to 100305#01,10,1003,
77,100305#01,영월군(옥동교) s to 100305#02,10,1003,
78,100305#02,옥동천하류 n to 100306#01,10,1003,
79,100306#01,단양군(오사리) s to 100306#02,10,1003,
80,100306#02,단양군(북벽교) s to 100306#03,10,1003,
81,100306#03,사이곡천합류전 n to 100307#01,10,1003,
82,100307#01,단양군(가대교) s to 100307#02,10,1003,
83,100307#02,하일천합류후 n to 100310#01,10,1003,
84,100308#01,매포천 n to 100310#03,10,1003,
85,100309#01,단양군(단양1교) s to 100309#02,10,1003,
86,100309#02,죽령천 n to 100310#05,10,1003,
87,100310#01,단양군(덕천교) s to 100310#02,10,1003,
88,100310#02,매포천합류전 n to 100310#03,10,1003,
89,100310#03,단양군(상진대교) s to 100310#04,10,1003,
90,100310#04,죽령천합류전 n to 100310#05,10,1003,
91,100310#05,단양천합류후 n to 100312#01,10,1003,
92,100311#01,단양군(우화교) s to 100311#02,10,1003,
93,100311#02,단양천 n to 100312#01,10,1003,
94,100312#01,충주댐상류 n to 100319#01,10,1003,
95,100313#01,제천시(팔송교) s to 100313#02,10,1003,
96,100313#02,제천천상류 n to 100315#01,10,1003,
97,100314#01,제천시(강저3교) s to 100314#02,10,1003,
98,100314#02,용두천합류전 n to 100314#05,10,1003,
99,100314#03,비룡담저수지 f to 100314#04,10,1003,
100,100314#04,용두천 n to 100314#05,10,1003,
101,100314#05,장평천 n to 100315#01,10,1003,
102,100315#01,제천시(구곡교) s to 100315#02,10,1003,
103,100315#02,제천천하류 n to 100319#03,10,1003,
104,100316#01,제천시(부수동교) s to 100316#02,10,1003,
105,100316#02,원서천 n to 100319#03,10,1003,
106,100317#01,광천 n to 100319#05,10,1003,
107,100318#01,동달천 n to 100319#05,10,1003,
108,100319#01,제천시(청풍교) s to 100319#02,10,1003,
109,100319#02,제천천합류전 n to 100319#05,10,1003,
110,100319#03,충주시(명서교) s to 100319#04,10,1003,
111,100319#04,제천천 n to 100319#05,10,1003,
112,100319#05,충주댐 f to 100320#01,10,1003,
113,100320#01,충주댐하류 n to 100501#01,10,1003,
114,100401#01,달천상류 n to 100403#01,10,1004,
115,100402#01,용곡저수지 f to 100402#02,10,1004,
116,100402#02,감천 n to 100403#01,10,1004,
117,100403#01,청주시(옥화1교) s to 100403#02,10,1004,
118,100403#02,압항천합류전 n to 100406#01,10,1004,
119,100404#01,압항천 n to 100406#01,10,1004,
120,100405#01,송면저수지 f to 100405#02,10,1004,
121,100405#02,화양천 n to 100406#02,10,1004,
122,100406#01,화양천합류전 n to 100406#02,10,1004,
123,100406#02,후영교 s to 100406#03,10,1004,
124,100406#03,괴산댐 f to 100409#01,10,1004,
125,100407#01,괴산군(비도교) s to 100407#02,10,1004,
126,100407#02,쌍천 n to 100409#03,10,1004,
127,100408#01,소수저수지 f to 100408#02,10,1004,
128,100408#02,괴산군(제2괴산교) s to 100408#03,10,1004,
129,100408#03,동진천 n to 100409#04,10,1004,
130,100409#01,괴산군(수전교) s to 100409#02,10,1004,
131,100409#02,쌍천합류전 n to 100409#03,10,1004,
132,100409#03,동진천합류전 n to 100409#04,10,1004,
133,100409#04,괴산군(목도교) s to 100409#05,10,1004,
134,100409#05,괴산댐하류 n to 100411#01,10,1004,
135,100410#01,괴산군(추산교) s to 100410#02,10,1004,
136,100410#02,음성천 n to 100411#01,10,1004,
137,100411#01,석문동천합류전 n to 100414#01,10,1004,
138,100412#01,충주시(문강교) s to 100412#02,10,1004,
139,100412#02,석문동천 n to 100414#01,10,1004,
140,100413#01,용당저수지 f to 100413#02,10,1004,
141,100413#02,충주시(국원대교) s to 100413#03,10,1004,
142,100413#03,요도천 n to 100414#03,10,1004,
143,100414#01,충주시(향산리) s to 100414#02,10,1004,
144,100414#02,요도천합류전 n to 100414#03,10,1004,
145,100414#03,충주시(탄금교) s to 100501#01,10,1004,
146,100501#01,충주조정지댐 f to 100502#01,10,1005,
147,100502#01,영덕천합류전 n to 100502#04,10,1005,
148,100502#02,추평저수지 f to 100502#03,10,1005,
149,100502#03,영덕천 n to 100502#04,10,1005,
150,100502#04,충주시(목계교) s to 100502#05,10,1005,
151,100502#05,목계수위표 n to 100503#01,10,1005,
152,100503#01,운계천합류전 n to 100505#01,10,1005,
153,100504#01,운계천 n to 100505#01,10,1005,
154,100505#01,법천천합류전 n to 100505#04,10,1005,
155,100505#02,원주시(법천교) s to 100505#03,10,1005,
156,100505#03,법천천 n to 100505#04,10,1005,
157,100505#04,원주시(남한강대교) s to 100505#05,10,1005,
158,100505#05,섬강합류전 n to 100706#01,10,1005,
159,100601#01,횡성군(율동리) s to 100601#02,10,1006,
160,100601#02,횡성군(포동2교) s to 100601#03,10,1006,
161,100601#03,횡성댐 f to 100602#01,10,1006,
162,100602#01,횡성댐하류 n to 100605#01,10,1006,
163,100603#01,좌운저수지 f to 100603#02,10,1006,
164,100603#02,횡성군(오산교) s to 100603#03,10,1006,
165,100603#03,금계천 n to 100605#01,10,1006,
166,100604#01,횡성군(전천교) s to 100604#02,10,1006,
167,100604#02,전천 n to 100605#03,10,1006,
168,100605#01,횡성군(횡성교) s to 100605#02,10,1006,
169,100605#02,전천합류전 n to 100605#03,10,1006,
170,100605#03,원주시(옥산교) s to 100605#04,10,1006,
171,100605#04,섬강합류전 n to 100608#01,10,1006,
172,100606#01,원주시(원주교) s to 100606#02,10,1006,
173,100606#02,원주천 n to 100608#01,10,1006,
174,100607#01,삼산천 n to 100608#03,10,1006,
175,100608#01,원주시(장현교) s to 100608#02,10,1006,
176,100608#02,삼산천합류전 n to 100608#03,10,1006,
177,100608#03,원주시(지정대교) s to 100608#04,10,1006,
178,100608#04,간현수위표 n to 100610#01,10,1006,
179,100609#01,서곡천 n to 100610#01,10,1006,
180,100610#01,원주시(문막교) s to 100610#02,10,1006,
181,100610#02,궁촌천합류전 n to 100610#05,10,1006,
182,100610#03,궁촌저수지 f to 100610#04,10,1006,
183,100610#04,궁촌천 n to 100610#05,10,1006,
184,100610#05,원심천합류전 n to 100610#08,10,1006,
185,100610#06,반계저수지 f to 100610#07,10,1006,
186,100610#07,원심천 n to 100610#08,10,1006,
187,100610#08,섬강하류 n to 100706#01,10,1006,
188,100701#01,안성시(한평교) s to 100701#02,10,1007,
189,100701#02,청미천상류 n to 100703#01,10,1007,
190,100702#01,죽산천 n to 100703#01,10,1007,
191,100703#01,청미천중류 n to 100705#01,10,1007,
192,100704#01,음성군(총천교) s to 100704#02,10,1007,
193,100704#02,응천 n to 100705#01,10,1007,
194,100705#01,이천시(장호원교) s to 100705#02,10,1007,
195,100705#02,여주시(원부교) s to 100706#02,10,1007,
196,100706#01,청미천합류전 n to 100706#04,10,1007,
197,100706#02,여주시(삼합교) s to 100706#03,10,1007,
198,100706#03,청미천 n to 100706#04,10,1007,
199,100706#04,여주시(강천리) s to 100706#05,10,1007,
200,100706#05,여주시(남한강교) s to 100706#06,10,1007,
201,100706#06,강천보 f to 100708#01,10,1007,
202,100707#01,금당천 n to 100708#03,10,1007,
203,100708#01,강천보(하류) s to 100708#02,10,1007,
204,100708#02,금당천합류전 n to 100708#03,10,1007,
